,gps_height,longitude,latitude,wpt_name,basin,region,district_code,population,public_meeting,scheme_management,permit,extraction_type,management,payment_type,water_quality,quantity,source,waterpoint_type,target,age
51,1545,32.04683486,-8.57166114,Kwa Kobelo,Lake Rukwa,Rukwa,2,200,True,VWC,True,gravity,vwc,never pay,soft,dry,river,communal standpipe,2,47
56,962,37.47943592,-3.36819761,Kwa Emanuel Moshi,Pangani,Kilimanjaro,4,45,True,Water Board,True,gravity,water board,per bucket,soft,enough,spring,communal standpipe,0,12
57,1583,36.72112734,-3.33981163,Zahanati,Pangani,Arusha,2,150,True,VWC,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe,2,11
60,190,38.78943655,-5.11324963,Kwakhalid,Pangani,Tanga,3,200,True,VWC,False,gravity,vwc,never pay,soft,seasonal,spring,communal standpipe,0,21
62,954,29.66972029,-4.77975837,Kwa Jakata,Lake Tanganyika,Kigoma,3,567,True,VWC,True,gravity,vwc,monthly,soft,enough,river,communal standpipe multiple,1,35
64,1538,34.76272634,-4.30776106,Kitumba,Internal,Singida,1,225,True,WUG,True,afridev,wug,never pay,soft,enough,machine dbh,hand pump,0,16
66,1788,34.89725735,-9.2035221,Kwa Piusi,Rufiji,Iringa,4,50,True,Private operator,True,other - rope pump,private operator,never pay,soft,enough,hand dtw,hand pump,0,10
68,1366,34.55789311,-8.88959406,Kwa Mulumbage,Rufiji,Iringa,4,54,True,WUA,True,gravity,wua,on failure,soft,dry,river,communal standpipe,2,42
76,2049,34.68047144,-9.3264772,Kwa Mkapa,Rufiji,Iringa,4,75,True,WUA,True,gravity,wua,monthly,soft,enough,spring,communal standpipe,0,12
78,406,38.58082367,-4.8348356,Tawakali,Pangani,Tanga,2,900,True,VWC,False,gravity,vwc,never pay,soft,dry,river,communal standpipe,2,28
81,427,37.72295310000001,-7.02426273,Kwa Mzee Zewe,Wami / Ruvu,Morogoro,2,100,True,VWC,True,gravity,vwc,never pay,soft,enough,river,communal standpipe,1,16
86,1701,35.73447433,-7.91231657,none,Rufiji,Iringa,1,441,True,VWC,True,swn 80,vwc,monthly,soft,enough,machine dbh,hand pump,0,20
88,159,38.35356668,-6.63869562,Kessy,Wami / Ruvu,Pwani,1,20,False,WUA,True,ksb,private operator,per bucket,soft,enough,river,communal standpipe,2,12
90,1002,29.67098869,-4.7268496,Muungano,Lake Tanganyika,Kigoma,3,120,True,WUG,True,gravity,vwc,monthly,soft,enough,river,communal standpipe,1,14
91,212,38.96294513,-10.47656619,Maringini,Ruvuma / Southern Coast,Lindi,53,280,True,VWC,True,india mark iii,vwc,never pay,salty,enough,machine dbh,hand pump,2,14
92,18,38.89040167,-6.55790327,Gedebu,Wami / Ruvu,Pwani,1,40,True,Company,True,ksb,vwc,monthly,soft,enough,river,communal standpipe,2,33
93,1560,35.51217404,-4.44803987,Gadiehindo,Internal,Manyara,2,221,True,VWC,True,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,0,12
95,1471,30.21673046,-4.34106206,Kwa Kuviye,Lake Tanganyika,Kigoma,2,950,True,Water authority,True,gravity,vwc,monthly,soft,enough,dam,communal standpipe multiple,0,13
101,1128,34.56343795,-4.09374985,Mashine,Internal,Singida,1,256,True,WUG,True,afridev,wug,never pay,soft,enough,machine dbh,hand pump,0,10
104,1409,37.17489041,-3.21646394,Area Two Namba 20,Pangani,Kilimanjaro,5,75,True,Water Board,True,gravity,water board,per bucket,soft,enough,spring,communal standpipe,0,21
105,744,37.61640658,-3.56996907,Kwa Issa Kinanja,Pangani,Kilimanjaro,2,320,True,VWC,True,gravity,vwc,monthly,soft,enough,spring,communal standpipe,0,10
116,445,37.48747402,-6.82950072,Kwa Bit Omari,Wami / Ruvu,Morogoro,6,90,True,VWC,True,nira/tanira,vwc,never pay,soft,enough,shallow well,hand pump,0,23
127,2050,34.64835709,-9.31731152,Kwa Charles Beda,Rufiji,Iringa,4,305,True,WUA,True,gravity,wua,monthly,soft,enough,spring,communal standpipe,0,12
135,2050,34.68859705,-9.69622598,none,Lake Nyasa,Iringa,5,50,True,VWC,False,gravity,vwc,on failure,soft,enough,spring,communal standpipe,0,13
141,471,37.82346185,-6.771698700000001,Kwa Saidi Gwaja,Wami / Ruvu,Morogoro,2,150,True,VWC,True,gravity,vwc,monthly,soft,enough,river,communal standpipe,0,16
147,1603,34.98887131,-8.91132497,none,Rufiji,Iringa,4,40,True,VWC,False,other - rope pump,vwc,on failure,soft,enough,hand dtw,hand pump,0,10
160,1562,34.94546531,-8.86866011,Kwa Robart Mchena,Rufiji,Iringa,4,250,True,VWC,False,nira/tanira,vwc,on failure,soft,enough,hand dtw,hand pump,0,11
162,1445,34.68050209,-8.84136926,Kwa Mzee Lupaya,Rufiji,Iringa,4,80,True,WUA,True,gravity,wua,monthly,soft,enough,river,communal standpipe multiple,0,42
163,1242,30.26413388,-4.52564753,Kwa Mukanda,Lake Tanganyika,Kigoma,2,560,True,Water authority,True,gravity,water board,annually,soft,enough,river,communal standpipe,0,43
169,262,39.08229758,-10.9753631,Kanjilu,Ruvuma / Southern Coast,Mtwara,33,36,True,VWC,True,gravity,vwc,per bucket,soft,seasonal,spring,communal standpipe,0,16
170,935,35.98642477,-10.73055089,Kwa Chafuruga,Ruvuma / Southern Coast,Ruvuma,5,540,True,VWC,True,gravity,vwc,on failure,soft,seasonal,river,communal standpipe,0,37
171,823,31.7799078,-7.80637606,Kwa Marki,Lake Rukwa,Rukwa,2,300,True,VWC,True,gravity,vwc,never pay,soft,dry,river,communal standpipe,2,48
172,217,38.33493265,-6.45446888,Maiko,Wami / Ruvu,Pwani,1,12,True,WUA,True,ksb,private operator,per bucket,soft,enough,river,communal standpipe,0,10
173,253,36.70397575,-8.12006358,Kwazai,Rufiji,Morogoro,3,450,True,VWC,True,swn 80,vwc,monthly,soft,insufficient,shallow well,hand pump,0,23
175,1783,31.52365762,-8.17864388,Kwa Alfred Mwanandenje,Lake Tanganyika,Rukwa,2,50,True,VWC,True,gravity,vwc,on failure,soft,enough,river,communal standpipe,0,48
176,961,35.7005422,-3.81945703,Migungani,Internal,Manyara,1,245,True,VWC,True,nira/tanira,vwc,never pay,fluoride,enough,shallow well,hand pump,0,8
179,183,38.76743559,-5.17227682,Kwegole,Pangani,Tanga,3,600,True,VWC,False,gravity,vwc,never pay,soft,seasonal,spring,communal standpipe multiple,2,12
183,1485,32.06802448,-8.68938706,Kanisani,Lake Rukwa,Rukwa,2,59,True,VWC,False,india mark ii,vwc,never pay,soft,enough,machine dbh,hand pump,2,34
193,128,38.34276796,-6.60873088,Shabaan Jubwa,Wami / Ruvu,Pwani,1,50,True,WUA,True,ksb,wua,per bucket,soft,enough,river,communal standpipe,2,10
194,1768,34.71600987,-9.12973959,Head Master,Rufiji,Iringa,4,25,True,WUA,True,gravity,wua,monthly,soft,enough,river,communal standpipe,0,33
195,232,39.77883219,-10.60671713,Shuleni,Ruvuma / Southern Coast,Mtwara,1,150,True,VWC,True,mono,vwc,per bucket,soft,enough,machine dbh,communal standpipe multiple,0,9
196,1567,37.89233459,-4.36699297,Kwa Lukwazi,Pangani,Kilimanjaro,3,500,True,Water authority,True,gravity,vwc,annually,soft,insufficient,spring,communal standpipe,0,42
198,1135,33.50998861,-2.15235319,Shuleni,Lake Victoria,Mara,4,100,True,VWC,True,gravity,parastatal,per bucket,soft,enough,lake,communal standpipe,2,42
202,1768,34.89930829,-9.20451104,Kwa Bonifasi Pascal,Rufiji,Iringa,4,40,True,VWC,False,other - rope pump,vwc,monthly,soft,enough,hand dtw,hand pump,0,10
203,1593,34.920323100000005,-8.83707693,Kwa Onesmo Ndumbula,Rufiji,Iringa,4,40,True,VWC,False,nira/tanira,vwc,on failure,soft,enough,hand dtw,hand pump,0,11
208,205,38.23544422,-6.63641192,Kiwembe,Wami / Ruvu,Pwani,1,100,True,VWC,True,ksb,vwc,per bucket,soft,enough,dam,communal standpipe,2,38
209,1685,35.88015611,-3.25083059,Kwa Gabriel,Internal,Arusha,30,200,True,VWC,True,gravity,vwc,per bucket,soft,enough,river,communal standpipe,0,11
214,1055,37.82287905,-4.14888473,Nasuro Primary,Pangani,Kilimanjaro,3,450,True,Water authority,True,gravity,water board,monthly,soft,insufficient,spring,communal standpipe,1,9
218,1897,36.65057433,-3.2526794,Kwa Lazaro,Pangani,Arusha,2,150,True,VWC,True,gravity,vwc,on failure,soft,enough,spring,communal standpipe,0,20
221,1661,37.95878138,-4.43495404,Kwa Laurent,Pangani,Kilimanjaro,3,140,True,Water authority,True,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,1,18
223,1071,29.88356158,-4.59970578,Mulumba Secondary,Lake Tanganyika,Kigoma,2,570,True,Water authority,True,gravity,private operator,monthly,soft,insufficient,river,communal standpipe,0,15
226,966,37.08879175,-6.01081035,Sungura A,Wami / Ruvu,Morogoro,1,700,True,VWC,True,swn 80,vwc,never pay,soft,enough,shallow well,hand pump,0,24
233,508,39.33063258,-10.99280378,Sokoni,Ruvuma / Southern Coast,Mtwara,33,630,True,VWC,False,gravity,vwc,per bucket,soft,insufficient,spring,communal standpipe,2,14
234,1556,35.53081946,-4.50268446,Giboya,Internal,Manyara,2,270,True,VWC,True,gravity,vwc,never pay,soft,dry,spring,communal standpipe,2,12
240,1261,36.83283068,-6.09538776,Kwa Kalebi,Wami / Ruvu,Morogoro,1,250,True,VWC,True,submersible,vwc,per bucket,soft,enough,machine dbh,communal standpipe,2,14
247,165,38.70152604,-5.13617489,Madago,Pangani,Tanga,3,1000,True,VWC,False,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe multiple,0,16
248,1421,37.43964118,-3.31993627,Kwa Alphonce Kesi,Pangani,Kilimanjaro,4,30,True,Water Board,True,gravity,water board,per bucket,soft,enough,spring,communal standpipe,0,12
250,1244,34.63225535,-8.72031632,Ofisini,Rufiji,Iringa,4,55,True,WUA,True,gravity,wua,monthly,soft,seasonal,river,communal standpipe,0,11
251,357,38.79470824,-10.57239234,Kidunchu,Ruvuma / Southern Coast,Mtwara,33,1700,True,VWC,True,mono,vwc,per bucket,salty,enough,machine dbh,communal standpipe multiple,0,45
261,844,35.06630886,-5.85530454,Kwa Stephano Masmbwa,Internal,Singida,3,250,True,VWC,False,mono,vwc,never pay,soft,enough,machine dbh,communal standpipe multiple,2,46
266,1572,30.12658076,-4.43681809,Mgunga,Lake Tanganyika,Kigoma,2,320,True,Water authority,True,gravity,water board,monthly,soft,enough,spring,improved spring,1,12
269,338,38.80660601,-10.56479172,Malugunyo,Ruvuma / Southern Coast,Mtwara,33,2530,True,VWC,True,mono,vwc,per bucket,salty,enough,machine dbh,communal standpipe multiple,0,46
278,1445,37.67816216,-3.69879186,Kwa Kituku,Pangani,Kilimanjaro,2,80,True,VWC,False,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,0,48
280,1343,30.01709818,-4.33258278,Jeshini,Lake Tanganyika,Kigoma,2,50,True,Water authority,True,gravity,water board,monthly,soft,insufficient,river,communal standpipe,0,38
283,1564,36.65864318,-3.3307891000000005,Kwa Loibulu,Pangani,Arusha,2,150,True,VWC,True,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,2,18
284,991,30.39148972,-5.10506992,Kwa Lugai,Lake Tanganyika,Kigoma,3,150,False,VWC,True,gravity,vwc,monthly,soft,insufficient,river,communal standpipe multiple,1,23
290,524,37.59776312,-6.89558991,Shuleni,Wami / Ruvu,Morogoro,5,450,True,VWC,True,gravity,vwc,never pay,soft,insufficient,river,communal standpipe,2,50
291,1542,34.84539417,-4.26244399,Kwa Kizali,Internal,Singida,1,230,True,VWC,True,afridev,vwc,never pay,soft,enough,shallow well,hand pump,2,22
293,1602,35.73363834,-3.30450464,Qwahasau,Internal,Arusha,30,150,True,VWC,True,gravity,vwc,per bucket,soft,enough,river,communal standpipe,0,28
299,334,38.69103275,-10.87666127,Kwa Zena Rajabu 2,Ruvuma / Southern Coast,Mtwara,63,36,True,VWC,True,nira/tanira,vwc,never pay,salty,dry,shallow well,hand pump,2,42
308,1773,35.25506862,-4.30052711,Kwa Gaashe,Internal,Manyara,1,150,True,VWC,True,gravity,vwc,never pay,soft,enough,river,communal standpipe,1,10
310,828,36.03263045,-10.53104474,Shuleni,Rufiji,Ruvuma,5,900,True,VWC,True,gravity,parastatal,never pay,soft,dry,river,communal standpipe,2,10
314,290,38.86287361,-7.16541013,Msikitini,Wami / Ruvu,Pwani,33,500,True,Private operator,False,nira/tanira,private operator,never pay,soft,dry,machine dbh,hand pump,2,23
316,1632,32.0258239,-8.93900583,Kwa Jasti Welu,Lake Rukwa,Rukwa,2,200,True,VWC,False,india mark ii,vwc,never pay,soft,insufficient,machine dbh,hand pump,0,36
318,237,38.78345753,-5.10821911,Tenkini,Pangani,Tanga,3,150,True,VWC,False,gravity,vwc,never pay,soft,seasonal,spring,communal standpipe,2,21
327,847,29.69182833,-4.83944178,Ushirika,Lake Tanganyika,Kigoma,3,450,True,WUG,True,gravity,vwc,monthly,soft,enough,river,communal standpipe multiple,0,11
328,482,34.89217109,-11.35532944,Kwa Mzee Chivalu,Lake Nyasa,Ruvuma,3,86,True,VWC,True,gravity,vwc,monthly,soft,enough,spring,communal standpipe,0,12
331,1652,34.59648052,-9.08290229,Kwa Mathiasi Luswema,Rufiji,Iringa,4,25,True,WUA,True,gravity,wua,on failure,soft,enough,river,communal standpipe,0,26
337,2179,34.41769364,-9.21264691,Kwa Leyndi Chengula,Rufiji,Iringa,4,75,True,VWC,True,gravity,vwc,annually,soft,dry,spring,communal standpipe,2,20
338,293,36.85533064,-7.95071025,Kwamalwata,Rufiji,Morogoro,3,300,True,VWC,True,swn 80,vwc,monthly,soft,insufficient,shallow well,hand pump,0,36
339,1666,31.86585448,-8.65868897,Charles Sinkala,Lake Rukwa,Rukwa,2,240,True,VWC,False,india mark ii,vwc,never pay,soft,enough,machine dbh,hand pump,0,12
341,887,36.714157,-8.73986417,Mwacheapotee,Rufiji,Morogoro,4,203,True,WUA,True,gravity,wug,monthly,soft,enough,spring,communal standpipe,0,25
343,1479,36.6901363,-3.34459861,Kwa James,Pangani,Arusha,2,200,True,VWC,True,gravity,vwc,monthly,soft,enough,spring,communal standpipe multiple,0,21
344,1604,35.51442025,-4.41280954,Salimu Bakari,Internal,Manyara,2,215,True,VWC,True,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,0,15
348,480,34.65294448,-11.10267439,Kwa Mzee Kamanga,Lake Nyasa,Ruvuma,3,98,True,VWC,True,gravity,vwc,monthly,soft,enough,spring,communal standpipe multiple,0,28
349,161,38.189668,-6.84613413,Kwa Swalaga,Wami / Ruvu,Morogoro,2,160,True,VWC,True,nira/tanira,vwc,monthly,salty,enough,shallow well,hand pump,0,18
350,226,39.73442461,-10.56919171,Kwa Ally Likomba,Ruvuma / Southern Coast,Mtwara,1,450,True,VWC,True,mono,vwc,per bucket,soft,enough,machine dbh,communal standpipe multiple,0,8
351,917,36.98516699,-3.56223676,Songambele,Pangani,Manyara,4,200,True,Water authority,True,submersible,water authority,per bucket,soft,enough,machine dbh,communal standpipe,0,20
353,1284,30.03804351,-4.77413286,Kwa Nyicha,Lake Tanganyika,Kigoma,2,1200,True,Water authority,True,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe multiple,0,44
356,960,36.83183178,-3.52725556,Shule Ya Msingi,Pangani,Arusha,2,300,True,VWC,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe,2,50
359,1200,36.94719085,-2.9594595,Kwa Nzoyoho,Internal,Arusha,6,200,True,VWC,True,gravity,vwc,on failure,soft,insufficient,river,communal standpipe,0,12
364,1325,30.20482368,-4.50371347,Kwa Ntazi,Lake Tanganyika,Kigoma,2,210,True,Water authority,True,gravity,water board,monthly,soft,enough,river,communal standpipe,2,32
365,260,36.95971049,-7.69740663,Mjimwema,Rufiji,Morogoro,3,300,True,Company,True,gravity,vwc,monthly,soft,insufficient,river,communal standpipe,0,25
369,256,36.65697271,-8.13354916,Kwamagwira,Rufiji,Morogoro,3,120,True,VWC,True,nira/tanira,vwc,never pay,soft,insufficient,shallow well,hand pump,0,16
371,1726,35.91834892,-3.17692667,Kwa Tiaini,Internal,Arusha,30,100,True,VWC,True,gravity,vwc,annually,coloured,enough,river,communal standpipe,0,18
372,317,36.48669063,-8.0823985,Kwandimbo,Rufiji,Morogoro,3,500,True,VWC,True,swn 80,vwc,monthly,soft,insufficient,shallow well,hand pump,0,12
373,901,35.63182868,-10.26251276,Kwa Ereteriusi,Lake Nyasa,Ruvuma,2,300,True,VWC,True,india mark ii,vwc,on failure,soft,seasonal,shallow well,hand pump,0,25
374,1689,34.58307637,-9.0613773,Kwa Rafael Mbembati,Rufiji,Iringa,4,50,True,WUA,True,gravity,wua,on failure,soft,dry,river,communal standpipe,2,42
380,701,37.54983568,-3.54812862,Kwa Adinani Mgala,Pangani,Kilimanjaro,2,400,True,WUA,True,submersible,wua,monthly,soft,insufficient,machine dbh,communal standpipe,0,11
381,980,37.33476236,-3.30046366,Kwa Kalisti Msaki,Pangani,Kilimanjaro,4,100,True,Water Board,True,gravity,water board,never pay,soft,insufficient,spring,communal standpipe,1,48
382,1580,35.66085777,-3.3252079,Kwa Kwintini,Internal,Arusha,30,250,True,VWC,True,gravity,vwc,per bucket,soft,insufficient,river,communal standpipe multiple,0,18
383,1362,34.21765613,-2.97432722,Mtakuja,Lake Victoria,Shinyanga,1,450,True,WUG,False,nira/tanira,wug,never pay,soft,enough,shallow well,hand pump,0,12
388,1020,36.68729462,-3.58425942,Kwa Koluduni,Pangani,Arusha,2,100,True,VWC,True,gravity,vwc,per bucket,soft,enough,spring,communal standpipe,0,10
389,1694,34.50392432,-9.87356716,none,Lake Nyasa,Iringa,5,95,True,VWC,True,gravity,vwc,annually,soft,enough,spring,communal standpipe,0,28
392,1804,34.76969867,-9.12297853,Kilabuni,Rufiji,Iringa,4,130,True,WUA,True,gravity,wua,monthly,soft,enough,spring,communal standpipe,0,11
395,1576,37.88913692,-4.26978864,Kwa Kimei,Pangani,Kilimanjaro,3,80,True,Water authority,True,gravity,vwc,never pay,soft,insufficient,river,communal standpipe,0,17
398,729,36.04384037,-10.99183394,Kwa Rashidi,Ruvuma / Southern Coast,Ruvuma,5,360,True,WUG,False,swn 80,wug,monthly,soft,insufficient,shallow well,hand pump,2,21
399,459,37.819264,-6.77130648,Kwa Mama Nyanga,Wami / Ruvu,Morogoro,2,250,True,VWC,True,gravity,vwc,per bucket,soft,enough,river,communal standpipe,0,16
401,965,36.92693499,-3.46538763,Elisante,Pangani,Arusha,7,159,True,Water Board,True,gravity,water board,per bucket,soft,enough,spring,communal standpipe multiple,0,52
408,486,37.23667961,-7.10013213,Kwa Mabiso,Wami / Ruvu,Morogoro,6,130,True,VWC,True,swn 80,vwc,never pay,salty,enough,shallow well,hand pump,1,40
414,1001,37.64666821,-3.79164451,Kwa Abdalah Mkwizu,Pangani,Kilimanjaro,2,70,True,Water Board,False,gravity,water board,never pay,soft,insufficient,spring,communal standpipe,1,27
415,1680,34.47972070000001,-9.72147456,none,Lake Nyasa,Iringa,5,35,True,VWC,False,gravity,vwc,on failure,soft,dry,spring,communal standpipe,2,28
418,501,34.83510749,-11.30350354,Kwa Mzee Chitanji,Lake Nyasa,Ruvuma,3,65,True,VWC,True,gravity,vwc,annually,soft,insufficient,spring,communal standpipe,0,28
419,466,37.06946585,-6.8202965,Sekondari,Wami / Ruvu,Morogoro,1,250,True,VWC,True,india mark ii,vwc,never pay,soft,enough,shallow well,hand pump,0,11
420,813,37.48326369,-3.39258445,Kwa Mghanga Mwajabu,Pangani,Kilimanjaro,4,50,True,WUA,True,gravity,wua,per bucket,soft,enough,spring,communal standpipe,0,19
430,1038,37.27119332,-3.29718526,Kwa Peter Kanuni Munishi,Pangani,Kilimanjaro,4,30,True,Water Board,True,gravity,water board,per bucket,soft,enough,river,communal standpipe,0,13
432,1176,35.87087695,-4.13690289,Kwa Petro,Internal,Manyara,1,48,True,VWC,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe,0,22
442,266,36.89839974,-7.85579928,Amani,Rufiji,Morogoro,3,300,True,WUA,True,gravity,vwc,monthly,soft,insufficient,river,communal standpipe,1,22
444,288,36.02607935,-8.54589527,Kwachogo,Rufiji,Morogoro,3,200,True,VWC,True,swn 80,vwc,never pay,soft,insufficient,shallow well,hand pump,0,38
448,899,29.82376296,-4.87487688,Sokoni,Lake Tanganyika,Kigoma,3,220,True,WUG,True,gravity,vwc,annually,soft,enough,river,communal standpipe,0,41
452,1842,34.78207959,-9.12239269,Kwa Litroce Ng'Eve,Rufiji,Iringa,4,85,True,WUA,True,gravity,wua,monthly,soft,enough,spring,communal standpipe,0,11
455,306,38.24224578,-11.13603413,Kwa Mustapha Rashidi,Ruvuma / Southern Coast,Mtwara,63,86,True,VWC,True,india mark ii,vwc,never pay,salty,insufficient,machine dbh,hand pump,0,19
456,284,36.69906756,-8.08846585,School,Rufiji,Morogoro,3,500,True,VWC,True,swn 80,vwc,never pay,soft,insufficient,shallow well,hand pump,2,20
457,1929,34.70473384,-9.20234087,Kwa Michael Mlowe,Rufiji,Iringa,4,95,True,WUA,True,gravity,wua,monthly,soft,enough,spring,communal standpipe,0,11
458,206,39.07821972,-9.86254017,Mshamu,Ruvuma / Southern Coast,Lindi,53,1680,True,VWC,True,india mark ii,vwc,never pay,salty,enough,machine dbh,hand pump,0,10
460,1566,37.89366796,-4.34519815,Kwa Eneza,Pangani,Kilimanjaro,3,120,True,Water authority,True,gravity,vwc,annually,soft,insufficient,spring,communal standpipe,0,10
461,30,38.67500341,-6.40813861,Kilimahewa,Wami / Ruvu,Pwani,1,60,True,VWC,False,ksb,vwc,never pay,coloured,insufficient,dam,communal standpipe,2,42
465,2623,35.68945716,-3.02923374,Shuleni,Internal,Arusha,5,210,True,Parastatal,True,gravity,parastatal,never pay,soft,enough,river,communal standpipe multiple,0,17
467,1066,35.76409768,-10.47927001,Shuleni,Lake Nyasa,Ruvuma,5,375,True,VWC,True,gravity,vwc,never pay,soft,insufficient,river,communal standpipe,0,26
469,288,38.51700167,-5.59165039,Kwa Mazenyeko,Pangani,Tanga,6,2000,True,VWC,False,afridev,vwc,never pay,salty,insufficient,shallow well,hand pump,2,16
473,279,36.68246487,-8.31732974,Jitolee,Rufiji,Morogoro,3,700,True,VWC,True,swn 80,vwc,monthly,soft,enough,shallow well,hand pump,0,17
475,2116,34.77865965,-9.49554502,none,Rufiji,Iringa,4,30,True,VWC,False,submersible,vwc,monthly,soft,enough,spring,communal standpipe,2,24
483,1409,36.67331251,-3.35811482,Kwa Mekotiki,Pangani,Arusha,2,200,True,VWC,True,gravity,vwc,per bucket,soft,insufficient,spring,communal standpipe,2,20
489,1721,35.00739367,-9.50647981,none,Rufiji,Iringa,4,50,True,VWC,False,submersible,vwc,never pay,soft,insufficient,spring,communal standpipe,2,14
493,725,36.13462601,-10.21443688,Kwa George Muhua,Rufiji,Ruvuma,5,250,True,WUG,False,nira/tanira,wug,monthly,soft,insufficient,shallow well,hand pump,0,22
496,1600,37.88986452,-4.36732057,Kwa Enziyohana,Pangani,Kilimanjaro,3,140,True,Water authority,True,gravity,vwc,annually,soft,insufficient,spring,communal standpipe,1,42
499,19,38.98411519,-6.5532638,Mtunguzi,Wami / Ruvu,Pwani,1,50,True,VWC,False,submersible,vwc,per bucket,soft,enough,machine dbh,communal standpipe,2,11
500,1573,35.14300047,-9.2600308,Tag,Rufiji,Iringa,4,150,True,WUA,True,gravity,wua,monthly,soft,enough,river,communal standpipe,0,45
501,963,31.16922705,-7.102952,Kwa Emil Sungura,Lake Rukwa,Rukwa,1,200,True,VWC,True,india mark ii,vwc,annually,salty,enough,machine dbh,hand pump,0,10
506,1243,33.98362709,-1.48524922,Kwa Tatiro Mhare,Lake Victoria,Mara,6,500,False,VWC,False,submersible,vwc,never pay,soft,enough,lake,communal standpipe multiple,2,37
